FM;Tenants;Prefrences per tenant;Round;Current tenants;Time;F(Ct-1);F(Ct);
WindowsDaaS;5;3;5;7;7083;3.5426939625E8;1.239942886875E9;
WindowsDaaS;5;3;6;6;7021;1.387086525E7;5.5483461E7;
WindowsDaaS;5;3;7;5;6974;NaN;NaN;
WindowsDaaS;5;3;8;4;6615;NaN;NaN;
WindowsDaaS;5;3;9;3;6740;0.0;51349.33333333333;
WindowsDaaS;5;3;10;4;6771;1257984.0;1257984.0;
WindowsDaaS;5;3;11;3;6475;23680.0;44400.0;
WindowsDaaS;5;4;0;4;6801;4032000.0;7.2576E7;
WindowsDaaS;5;4;1;5;6975;1.67215104E10;1.67215104E10;
WindowsDaaS;5;4;2;6;8316;2.286267100936E12;4.321044820769041E12;
WindowsDaaS;5;4;3;7;8472;4.220519532203519E13;4.748084473728959E13;
WindowsDaaS;5;4;4;8;9314;2.487912893561891E15;2.2590367970215495E15;
WindowsDaaS;5;4;5;7;8612;1.3261954752184318E13;2.1913308047554562E13;
WindowsDaaS;5;4;6;6;7348;2.1739392904319998E11;2.1739392904319998E11;
WindowsDaaS;5;4;7;5;7302;3.891295577866666E9;6.573214338599998E9;
WindowsDaaS;5;4;8;6;8285;0.0;5.959714333663998E11;
WindowsDaaS;5;4;9;7;8503;NaN;NaN;
WindowsDaaS;5;4;10;8;9548;0.0;8.177678421232319E13;
WindowsDaaS;5;4;11;9;9782;1.1448749789725245E15;7.485721016358815E14;
WindowsDaaS;5;4;12;8;9641;4.1712321679451733E11;3.1184180412839996E11;
WindowsDaaS;5;4;13;9;9939;3.8879383724752906E14;3.8879383724752906E14;
WindowsDaaS;5;4;14;10;10156;1.91835651536024E15;1.91835651536024E15;
WindowsDaaS;5;4;15;9;9923;5.110288553663999E12;5.110288553663999E12;
WindowsDaaS;5;4;16;8;9860;0.0;0.0;
WindowsDaaS;5;4;17;7;9065;0.0;0.0;
WindowsDaaS;5;4;18;8;9454;0.0;0.0;
WindowsDaaS;5;4;19;9;9704;0.0;0.0;
WindowsDaaS;5;4;20;8;9563;0.0;2.2782399864229684E9;
WindowsDaaS;5;4;21;9;9720;3.3995924694010415E12;3.3995924694010415E12;
WindowsDaaS;5;4;22;8;9502;0.0;8.386707971938776E11;
WindowsDaaS;5;4;23;9;9798;2.335888777184311E14;2.335888777184311E14;
WindowsDaaS;5;4;24;10;10188;6.297830235866546E14;6.297830235866546E14;
WindowsDaaS;5;5;0;6;8377;2.0969245019923206E12;3.710507775975001E12;
WindowsDaaS;5;5;1;5;8128;2.4097850339062504E10;3.89290876975E10;
WindowsDaaS;5;5;2;4;7364;3.259368933333334E7;3.259368933333334E7;
WindowsDaaS;5;5;3;3;7084;1546776.0;1649894.4000000001;
WindowsDaaS;5;5;4;4;7536;4.355721216E8;4.355721216E8;
WindowsDaaS;5;5;5;3;6818;2770938.72;2770938.72;
WindowsDaaS;5;5;6;4;7161;7.91380098432E8;1.074015847872E9;
WindowsDaaS;5;5;7;5;7707;2.4215844868300797E10;3.16668740585472E10;
WindowsDaaS;5;5;8;4;7832;3.302546987025E8;3.302546987025E8;
WindowsDaaS;5;5;9;3;7037;4661891.40625;4661891.40625;
WindowsDaaS;5;5;10;4;7816;9.174035547760416E8;1.5619689094953125E9;
WindowsDaaS;5;5;11;3;7380;1.5682205E7;1.3946625E7;
WindowsDaaS;5;5;12;4;7380;8.416619999999999E8;1.5526311428571427E9;
WindowsDaaS;5;5;13;5;8097;1.3728528E10;4.252608E10;
WindowsDaaS;5;5;14;6;8659;4.3315726628571436E12;4.3315726628571436E12;
WindowsDaaS;5;5;15;5;8050;3.3246719999999995E9;4.091904000000001E9;
WindowsDaaS;5;5;16;6;8706;0.0;0.0;
WindowsDaaS;5;5;17;5;8035;5137263.0;6149235.008370535;
WindowsDaaS;5;5;18;6;8487;2.322355322879999E9;1.7648882249142854E9;
WindowsDaaS;5;5;19;7;9205;1.1784022917120001E11;1.4892103507967999E10;
WindowsDaaS;5;5;20;8;9438;0.0;0.0;
WindowsDaaS;5;5;21;7;9081;0.0;0.0;
WindowsDaaS;5;5;22;6;8659;1.727403565714285E7;7.118159286857141E8;
WindowsDaaS;5;5;23;7;8971;3.8840407130653336E10;2.5222581459845E10;
WindowsDaaS;5;5;24;6;8690;1.0492001484799995E9;1.0234856038399999E9;
WindowsDaaS;5;6;0;6;8627;1.4387976691816003E12;2.746430527591295E12;
WindowsDaaS;5;6;1;5;8191;1.4103448389333332E10;2.2775228726249992E10;
WindowsDaaS;5;6;2;4;7286;3.0986705749999994E8;3.9141101999999994E8;
WindowsDaaS;5;6;3;5;7926;2.72266309546875E10;5.4453261909375E10;
WindowsDaaS;5;6;4;6;8706;5.199999916230001E11;1.141656958352531E12;
WindowsDaaS;5;6;5;7;9032;1.4078349962471025E13;1.5300244487515682E13;
WindowsDaaS;5;6;6;8;9439;9.817656879489228E13;2.315036127054074E13;
WindowsDaaS;5;6;7;7;8940;2.9373108754915405E11;1.0517663326816804E12;
WindowsDaaS;5;6;8;6;8752;1.7387666773890614E10;2.2646451955168644E10;
WindowsDaaS;5;6;9;5;8190;1.1650791378488885E8;2.2096220797155547E8;
WindowsDaaS;5;6;10;4;7785;5949.978125;7927.5875;
WindowsDaaS;5;6;11;3;7130;1179.92;1179.92;
WindowsDaaS;5;6;12;4;7645;200969.99999999994;200969.99999999994;
WindowsDaaS;5;6;13;5;8222;2.7725486250000004E7;2.952463013888889E7;
WindowsDaaS;5;6;14;4;7848;18180.190972222223;18180.190972222223;
WindowsDaaS;5;6;15;3;7192;5121.180555555556;6897.916666666668;
WindowsDaaS;5;6;16;4;7863;2324430.6944444445;2563797.6;
WindowsDaaS;5;6;17;3;7193;9582.3;10114.65;
WindowsDaaS;5;6;18;4;7786;3140678.070833333;3140678.070833333;
WindowsDaaS;5;6;19;3;7348;863428.0199999999;863428.0199999999;
WindowsDaaS;5;6;20;4;7801;4.6538770278E7;4.8121721647999994E7;
WindowsDaaS;5;6;21;5;8066;5.307971721173333E8;5.1333673882399994E8;
WindowsDaaS;5;6;22;6;8534;5.202908870082559E10;5.202908870082559E10;
WindowsDaaS;5;6;23;7;8830;2.0895645751993958E11;1.943070005306327E11;
WindowsDaaS;5;6;24;8;9345;4.755398196223395E12;4.866583531351967E12;
WindowsDaaS;5;7;0;6;8627;7.730799074742857E12;7.11879978857143E12;
WindowsDaaS;5;7;1;7;8862;5.753606261519854E14;8.50453558418059E14;
WindowsDaaS;5;7;2;8;9314;3.804785043247768E16;4.5611301912388384E16;
WindowsDaaS;5;7;3;7;8909;6.77024096256E13;6.77024096256E13;
WindowsDaaS;5;7;4;6;8644;1.196135424E12;1.196135424E12;
WindowsDaaS;5;7;5;5;7801;9.8793646875E9;2.037618966796875E10;
WindowsDaaS;5;7;6;4;7396;2.8383263999999996E7;2.8383263999999996E7;
WindowsDaaS;5;7;7;3;7223;4218.75;6328.125;
WindowsDaaS;5;7;8;4;7489;4727451.09375;4727451.09375;
WindowsDaaS;5;7;9;3;7177;16335.0;40837.5;
WindowsDaaS;5;7;10;4;7910;2669161.6875;8674775.484375;
WindowsDaaS;5;7;11;3;6709;831826.4500000001;831826.4500000001;
WindowsDaaS;5;7;12;4;7177;2.9891097599999998E7;5.9832729599999994E7;
WindowsDaaS;5;7;13;5;7645;5.12851968E8;5.12851968E8;
WindowsDaaS;5;7;14;6;8066;2.0431364183999996E9;1.6626875264999998E9;
WindowsDaaS;5;7;15;5;7801;2.8737809099999994E8;3.739073183999999E8;
WindowsDaaS;5;7;16;6;8238;1.9171328E10;2.0693376E10;
WindowsDaaS;5;7;17;7;9049;2.4733503916528193E12;5.299554950947159E12;
WindowsDaaS;5;7;18;6;8722;3.6107479075404572E9;3.7408649492536273E9;
WindowsDaaS;5;7;19;5;8066;1.050675032043457E7;1.050675032043457E7;
WindowsDaaS;5;7;20;6;8597;1.9792916446500945E9;1.61751747479684E9;
WindowsDaaS;5;7;21;7;9049;2.7079787109375E11;6.119668075561523E11;
WindowsDaaS;5;7;22;8;9172;1.1996828027915955E13;6.418088650403022E12;
WindowsDaaS;5;7;23;9;9517;3.1166744950602606E14;2.7224115246127806E14;
WindowsDaaS;5;7;24;10;9954;5.594406100028462E15;5.594406100028462E15;
WindowsDaaS;5;8;0;6;8736;1.0309992702072145E13;2.0042625812828246E13;
WindowsDaaS;5;8;1;5;8285;2.0696557037037037E10;2.027417832199547E10;
WindowsDaaS;5;8;2;4;7848;1.3068000000000001E8;1.9360000000000003E8;
WindowsDaaS;5;8;3;5;8238;5.15944E10;6.548520000000001E10;
WindowsDaaS;5;8;4;4;7910;6.613154742857143E7;7.214350628571428E7;
WindowsDaaS;5;8;5;5;8285;2.240568E10;1.3554053333333336E10;
WindowsDaaS;5;8;6;4;8160;2.8329523200000003E7;4.1206579199999996E7;
WindowsDaaS;5;8;7;3;7895;1.0393600000000002E7;1.470735E7;
WindowsDaaS;5;8;8;4;8893;9.5256354375E8;1.2913236E9;
WindowsDaaS;5;8;9;3;7458;3572592.5925925933;4401944.444444445;
WindowsDaaS;5;8;10;4;7879;1.5406805555555556E9;1.3363729166666667E9;
WindowsDaaS;5;8;11;5;8222;8.91757505925E10;6.90599562778125E10;
WindowsDaaS;5;8;12;6;8581;1.2270958850390625E11;1.9621847533148438E11;
WindowsDaaS;5;8;13;7;8862;2.5809085040836694E12;2.5989568153010376E12;
WindowsDaaS;5;8;14;6;8550;8.80208757479004E9;8.80208757479004E9;
WindowsDaaS;5;8;15;7;8737;1.7503579863011047E12;3.8917563339673003E12;
WindowsDaaS;5;8;16;6;8549;1.3942238728271484E9;7.04449956796875E8;
WindowsDaaS;5;8;17;5;8223;2.622951966796875E8;2.7610020703125E8;
WindowsDaaS;5;8;18;4;7879;8.015625E7;1.2183749999999997E8;
WindowsDaaS;5;8;19;3;7380;24733.92857142857;29680.714285714283;
WindowsDaaS;5;8;20;4;7926;2772842.625;3225551.6249999995;
WindowsDaaS;5;8;21;5;8628;2.661080090624999E8;1.6246594237499997E8;
WindowsDaaS;5;8;22;4;7910;1.018794857142857E7;2.173721785714286E7;
WindowsDaaS;5;8;23;5;8191;1.0173017957142859E9;9.977163428571429E8;
WindowsDaaS;5;8;24;6;8503;7.821302489999997E10;1.91841403191075E10;
WindowsDaaS;6;3;0;7;7535;9.14006016E10;4.700602368E11;
WindowsDaaS;6;3;1;8;8659;0.0;0.0;
WindowsDaaS;6;3;2;7;8408;0.0;4.5346640625E12;
WindowsDaaS;6;3;3;8;8597;NaN;NaN;
WindowsDaaS;6;3;4;9;8799;NaN;NaN;
WindowsDaaS;6;3;5;10;10110;0.0;0.0;
WindowsDaaS;6;3;6;9;9767;0.0;0.0;
WindowsDaaS;6;3;7;8;9158;1.2705378088864044E14;1.601268573907296E15;
WindowsDaaS;6;3;8;7;8425;9.777380659200005E10;1.2221725824000005E11;
WindowsDaaS;6;3;9;8;9423;0.0;2.78818203365625E13;
WindowsDaaS;6;3;10;7;8222;0.0;0.0;
WindowsDaaS;6;3;11;8;7817;NaN;NaN;
WindowsDaaS;6;3;12;9;8254;NaN;NaN;
WindowsDaaS;6;3;13;10;7879;NaN;NaN;
WindowsDaaS;6;3;14;9;8315;NaN;NaN;
WindowsDaaS;6;3;15;8;8020;4.2233757696E12;4.504934154239999E13;
WindowsDaaS;6;3;16;7;7192;5.832096228E10;5.832096228E10;
WindowsDaaS;6;3;17;8;7521;1.6365446496000004E13;2.4548169744E13;
WindowsDaaS;6;3;18;9;8628;0.0;2.765930931225001E13;
WindowsDaaS;6;3;19;8;8456;NaN;NaN;
WindowsDaaS;6;3;20;9;8098;NaN;NaN;
WindowsDaaS;6;3;21;10;9127;NaN;NaN;
WindowsDaaS;6;3;22;9;7957;NaN;NaN;
WindowsDaaS;6;3;23;10;8269;NaN;NaN;
WindowsDaaS;6;3;24;9;8659;NaN;NaN;
WindowsDaaS;6;4;0;7;8970;1.3991972579956055E12;2.1747523095703125E12;
WindowsDaaS;6;4;1;6;8269;6.23380293E9;1.0363697371124996E10;
WindowsDaaS;6;4;2;7;8472;4.781601955792266E12;4.781601955792266E12;
WindowsDaaS;6;4;3;6;7691;7.918460484375E8;7.918460484375E8;
WindowsDaaS;6;4;4;7;7801;7.305561164770312E11;8.165038948860936E11;
WindowsDaaS;6;4;5;6;6974;3.4139750399999992E10;3.4139750399999992E10;
WindowsDaaS;6;4;6;5;6834;3.724875E8;6.09525E8;
WindowsDaaS;6;4;7;6;7301;9.15255E10;4.853625E10;
WindowsDaaS;6;5;0;7;9001;4.508320104132767E12;4.718686405288086E12;
WindowsDaaS;6;5;1;6;8690;2.1948745559400005E9;2.92649940792E9;
WindowsDaaS;6;5;2;5;8238;2.1635421671111113E8;2.3934704640000004E8;
WindowsDaaS;6;5;3;4;7926;1554201.6000000003;2101949.7333333334;
