sep=;
Input;Time (ms);Desired Location;Desired OS;Desired dedication;Desired period;Desired storage;Desired usage;Desired ECU;Desired RAM;Desired ssd;Result Location;Result OS;Result Dedication;Result Purchase;Result Instance;Result EBS;Total Cost;Cost Month;Cost Hour;ECU;Cores;RAM;SSD;Storage;EBS Storage;Signed Usage;Period;
Config 152.fmc; 381;Dedicated;Windows;VA;45;791;92;41.0;40.0;1;VA;Windows;Dedicated;OnDemand;R3_4xlarge;ssdEBS;19250.0;427796.0;2.138;52.0;16.0;122.0;1.0;791.0;471.0;92.0;45.0;
Config 153.fmc; 689;Dedicated;WindowsSQLServer;NorthAmerica;7;1625;92;56.0;118.0;0;VA;WindowsSQLWeb;Dedicated;OnDemand;R3_8xlarge;ssdEBS;4550.0;650040.0;3.995;104.0;32.0;244.0;1.0;1625.0;985.0;92.0;7.0;
Config 154.fmc; 491;Public;RedHat;SouthAmerica;26;914;456;14.0;4.0;0;SaoPaulo;RedHat;Public;OneYearMedium;C1_xlarge;null;7142.0;190608.0;0.418;20.0;8.0;7.0;0.0;1680.0;0.0;456.0;26.0;
Config 155.fmc; 330;Public;RedHat;SouthAmerica;26;914;456;49.0;17.0;0;SaoPaulo;RedHat;Public;OneYearMedium;C3_4xlarge;ssdEBS;15556.0;358188.0;0.538;55.0;16.0;30.0;1.0;914.0;594.0;456.0;26.0;
Config 156.fmc; 330;Public;Windows;AUS;36;8332;335;58.0;239.0;0;Invalid;
Config 157.fmc; 443;Public;Windows;AUS;36;540;335;20.0;7.0;1;Sydney;Windows;Public;OneYearMedium;C3_2xlarge;ssdEBS;8907.0;207740.0;0.484;28.0;8.0;15.0;1.0;540.0;380.0;335.0;36.0;
Config 158.fmc; 208;Dedicated;WindowsSQLWeb;ORE;35;667;458;32.0;12.0;1;ORE;WindowsSQLWeb;Dedicated;OnDemand;C3_4xlarge;ssdEBS;71473.0;2042114.0;2.383;55.0;16.0;30.0;1.0;667.0;347.0;458.0;35.0;
Config 159.fmc; 208;Dedicated;WindowsSQLWeb;ORE;35;9566;337;52.0;142.0;1;Invalid;
Config 16.fmc; 494;Dedicated;WindowsSQLStd;Europe;18;482;590;6.0;7.0;1;IR;WindowsSQLStd;Dedicated;OneYearMedium;M3_large;ssdEBS;26888.0;1424790.0;0.331;6.5;2.0;7.5;1.0;482.0;450.0;590.0;18.0;
Config 160.fmc; 735;Dedicated;WindowsSQLStd;AsiaOceania;45;293;337;13.0;3.0;1;Tokyo;WindowsSQLStd;Dedicated;OneYearMedium;C3_xlarge;ssdEBS;44158.0;925350.0;0.67;14.0;4.0;7.5;1.0;293.0;213.0;337.0;45.0;
Config 161.fmc; 759;Public;WindowsSQLServer;CA;16;416;701;56.0;20.0;0;CA;WindowsSQLWeb;Public;OneYearHeavy;CC2_8xlarge;null;12551.0;448220.0;0.614;88.0;32.0;60.5;0.0;3360.0;0.0;730.0;16.0;
Config 162.fmc; 325;Public;WindowsSQLServer;CA;16;7272;701;99.0;190.0;0;CA;WindowsSQLWeb;Public;OneYearHeavy;I2_8xlarge;ssdEBS;42982.0;1777800.0;2.292;104.0;32.0;244.0;1.0;7272.0;872.0;730.0;16.0;
Config 163.fmc; 1070;Public;WindowsSQLServer;CA;26;42;580;2.0;2.0;0;CA;WindowsSQLWeb;Public;OneYearMedium;M3_medium;ssdEBS;1756.0;57340.0;0.091;3.0;1.0;3.75;1.0;42.0;38.0;580.0;26.0;
Config 164.fmc; 559;Public;WindowsSQLWeb;Europe;26;42;580;17.0;32.0;0;IR;WindowsSQLWeb;Public;OneYearHeavy;R3_2xlarge;null;11500.0;237980.0;0.326;26.0;8.0;61.0;1.0;160.0;0.0;730.0;26.0;
Config 165.fmc; 320;Public;WindowsSQLWeb;Europe;26;3919;704;94.0;94.0;1;IR;WindowsSQLWeb;Public;OneYearHeavy;I2_8xlarge;null;58040.0;1673160.0;2.292;104.0;32.0;244.0;1.0;6400.0;0.0;730.0;26.0;
Config 166.fmc; 495;Dedicated;WindowsBased;AUS;26;170;704;10.0;10.0;1;Sydney;Windows;Dedicated;OneYearMedium;M3_xlarge;ssdEBS;43824.0;1644080.0;0.32;13.0;4.0;15.0;1.0;170.0;90.0;704.0;26.0;
Config 167.fmc; 500;Dedicated;WindowsBased;AUS;26;170;704;55.0;39.0;1;Sydney;Windows;Dedicated;OneYearHeavy;R3_8xlarge;null;68802.0;2098750.0;0.875;104.0;32.0;244.0;1.0;640.0;0.0;730.0;26.0;
Config 168.fmc; 414;Dedicated;WindowsBased;VA;35;1800;582;48.0;214.0;1;VA;Windows;Dedicated;OneYearMedium;I2_8xlarge;null;109273.0;2780796.0;2.778;104.0;32.0;244.0;1.0;6400.0;0.0;582.0;35.0;
Config 169.fmc; 930;Dedicated;WindowsBased;VA;35;795;582;15.0;9.0;0;VA;Windows;Dedicated;OneYearMedium;G2_2xlarge;ssdEBS;53374.0;1460988.0;0.384;26.0;8.0;15.0;1.0;795.0;735.0;582.0;35.0;
Config 17.fmc; 425;Dedicated;Linux;ORE;39;967;335;20.0;12.0;1;ORE;Linux;Dedicated;OneYearMedium;C3_2xlarge;ssdEBS;33461.0;827750.0;0.23;28.0;8.0;15.0;1.0;967.0;807.0;335.0;39.0;
Config 170.fmc; 915;Public;LinuxBased;JP;7;919;216;9.0;36.0;0;Tokyo;Linux;Public;OnDemand;M2_4xlarge;null;1738.0;248400.0;1.15;26.0;8.0;68.4;0.0;1680.0;0.0;216.0;7.0;
Config 171.fmc; 566;Public;LinuxBased;JP;7;2860;216;96.0;58.0;0;Tokyo;Linux;Public;OnDemand;I2_8xlarge;null;12102.0;1728864.0;8.004;104.0;32.0;244.0;1.0;6400.0;0.0;216.0;7.0;
Config 172.fmc; 867;Public;LinuxBased;SouthAmerica;16;544;94;4.0;4.0;0;SaoPaulo;Linux;Public;OnDemand;M1_large;null;350.0;21902.0;0.233;4.0;2.0;7.5;0.0;840.0;0.0;94.0;16.0;
Config 173.fmc; 744;Public;LinuxBased;SouthAmerica;16;544;94;24.0;16.0;0;SaoPaulo;Linux;Public;OnDemand;M2_4xlarge;null;1941.0;121354.0;1.291;26.0;8.0;68.4;0.0;1680.0;0.0;94.0;16.0;
Config 174.fmc; 744;Dedicated;Suse;Europe;16;9742;218;90.0;166.0;1;Invalid;
Config 175.fmc; 571;Dedicated;Suse;Europe;16;672;218;12.0;2.0;1;IR;Suse;Dedicated;OneYearMedium;C3_xlarge;ssdEBS;9261.0;528806.0;0.127;14.0;4.0;7.5;1.0;672.0;592.0;218.0;16.0;
Config 176.fmc; 526;Dedicated;Suse;Europe;16;297;96;7.0;23.0;1;IR;Suse;Dedicated;OnDemand;R3_xlarge;ssdEBS;4266.0;266654.0;0.529;13.0;4.0;30.5;1.0;297.0;217.0;96.0;16.0;
Config 177.fmc; 298;Dedicated;Suse;ORE;25;6388;96;44.0;81.0;1;ORE;Suse;Dedicated;OnDemand;I2_8xlarge;null;21408.0;856320.0;6.92;104.0;32.0;244.0;1.0;6400.0;0.0;96.0;25.0;
Config 178.fmc; 575;Dedicated;Suse;ORE;25;297;461;1.0;1.0;0;ORE;Suse;Dedicated;OneYearMedium;M1_small;StdEBS;23830.0;944524.0;0.034;1.0;1.0;1.7;0.0;297.0;137.0;461.0;25.0;
Config 179.fmc; 1607;Public;Linux;NorthAmerica;45;421;461;16.0;20.0;0;VA;Linux;Public;ThreeYearsMedium;M2_4xlarge;null;6364.0;88512.0;0.192;26.0;8.0;68.4;0.0;1680.0;0.0;461.0;45.0;
Config 18.fmc; 531;Dedicated;LinuxBased;AUS;10;6347;214;21.0;70.0;0;Sydney;Linux;Dedicated;OnDemand;HS1_8xlarge;null;16199.0;1619980.0;5.57;35.0;16.0;117.0;0.0;49152.0;0.0;214.0;10.0;
Config 180.fmc; 531;Public;Linux;NorthAmerica;45;7448;461;46.0;45.0;0;Invalid;
Config 181.fmc; 757;Public;Linux;CA;6;46;339;6.0;6.0;0;CA;Linux;Public;OnDemand;M3_large;ssdEBS;323.0;53886.0;0.154;6.5;2.0;7.5;1.0;46.0;14.0;339.0;6.0;
Config 182.fmc; 533;Public;Linux;CA;6;46;339;57.0;25.0;1;CA;Linux;Public;OnDemand;C3_8xlarge;null;3889.0;648168.0;1.912;108.0;32.0;60.0;1.0;640.0;0.0;339.0;6.0;
Config 183.fmc; 280;Dedicated;Windows;Europe;24;6031;232;56.0;201.0;1;IR;Windows;Dedicated;OneYearMedium;I2_8xlarge;null;44318.0;1348848.0;3.814;104.0;32.0;244.0;1.0;6400.0;0.0;232.0;24.0;
Config 184.fmc; 493;Public;Windows;ORE;33;817;110;17.0;7.0;0;ORE;Windows;Public;OnDemand;C1_xlarge;null;3049.0;92400.0;0.84;20.0;8.0;7.0;0.0;1680.0;0.0;110.0;33.0;
Config 185.fmc; 608;Public;Windows;ORE;33;941;475;26.0;33.0;0;ORE;Windows;Public;OneYearMedium;R3_2xlarge;ssdEBS;13381.0;288050.0;0.442;26.0;8.0;61.0;1.0;941.0;781.0;475.0;33.0;
Config 186.fmc; 436;Public;RedHat;NorthAmerica;5;3737;475;58.0;80.0;1;VA;RedHat;Public;OnDemand;I2_8xlarge;null;16506.0;3301250.0;6.95;104.0;32.0;244.0;1.0;6400.0;0.0;475.0;5.0;
Config 187.fmc; 427;Dedicated;RedHat;CA;14;566;353;6.0;6.0;1;CA;RedHat;Dedicated;OneYearMedium;M3_large;ssdEBS;11806.0;814911.0;0.127;6.5;2.0;7.5;1.0;566.0;534.0;353.0;14.0;
Config 188.fmc; 167;Dedicated;WindowsSQLWeb;SouthAmerica;14;694;477;9.0;40.0;1;SaoPaulo;WindowsSQLWeb;Dedicated;OnDemand;C3_8xlarge;ssdEBS;48572.0;3469464.0;5.252;108.0;32.0;60.0;1.0;694.0;54.0;477.0;14.0;
Config 189.fmc; 167;Dedicated;WindowsSQLWeb;SouthAmerica;14;1618;477;95.0;188.0;0;Invalid;
Config 19.fmc; 1472;Public;Suse;AsiaOceania;19;843;337;3.0;9.0;1;SIN;Suse;Public;OneYearMedium;R3_large;ssdEBS;3245.0;124280.0;0.08;6.5;2.0;15.0;1.0;843.0;811.0;337.0;19.0;
Config 190.fmc; 705;Public;WindowsSQLWeb;JP;23;319;355;19.0;9.0;0;Tokyo;WindowsSQLWeb;Public;OneYearMedium;C3_2xlarge;ssdEBS;7457.0;243795.0;0.633;28.0;8.0;15.0;1.0;319.0;159.0;355.0;23.0;
Config 191.fmc; 1185;Public;WindowsSQLServer;AsiaOceania;43;443;720;33.0;17.0;0;Tokyo;WindowsSQLWeb;Public;OneYearHeavy;R3_4xlarge;ssdEBS;26327.0;408230.0;0.539;52.0;16.0;122.0;1.0;443.0;123.0;730.0;43.0;
Config 192.fmc; 615;Public;WindowsSQLServer;AsiaOceania;43;4971;598;97.0;152.0;1;SIN;WindowsSQLWeb;Public;ThreeYearsMedium;I2_8xlarge;null;121739.0;2111538.0;3.531;104.0;32.0;244.0;1.0;6400.0;0.0;598.0;43.0;
Config 193.fmc; 454;Dedicated;WindowsSQLServer;SIN;4;68;598;8.0;6.0;1;SIN;WindowsSQLWeb;Dedicated;OnDemand;C3_xlarge;null;6209.0;1552408.0;0.596;14.0;4.0;7.5;1.0;80.0;0.0;598.0;4.0;
Config 194.fmc; 494;Dedicated;LinuxBased;CA;4;196;722;16.0;24.0;1;CA;Linux;Dedicated;OnDemand;M3_2xlarge;ssdEBS;7751.0;1937836.0;0.678;26.0;8.0;30.0;1.0;196.0;36.0;722.0;4.0;
Config 195.fmc; 433;Public;WindowsBased;Europe;14;2853;601;92.0;56.0;0;IR;WindowsSQLWeb;Public;OneYearMedium;I2_8xlarge;null;36949.0;1959260.0;3.26;104.0;32.0;244.0;1.0;6400.0;0.0;601.0;14.0;
Config 196.fmc; 979;Public;WindowsBased;Europe;14;822;601;2.0;5.0;0;IR;Windows;Public;OneYearMedium;M1_large;null;1975.0;102771.0;0.171;4.0;2.0;7.5;0.0;840.0;0.0;601.0;14.0;
Config 197.fmc; 481;Public;WindowsSQLStd;VA;33;945;234;40.0;32.0;0;VA;WindowsSQLStd;Public;OneYearMedium;I2_4xlarge;null;29648.0;651924.0;2.786;53.0;16.0;122.0;1.0;3200.0;0.0;234.0;33.0;
Config 198.fmc; 320;Public;WindowsSQLStd;VA;33;3912;234;50.0;225.0;1;VA;WindowsSQLStd;Public;OneYearMedium;I2_8xlarge;null;59296.0;1303848.0;5.572;104.0;32.0;244.0;1.0;6400.0;0.0;234.0;33.0;
Config 199.fmc; 1518;Dedicated;LinuxBased;NorthAmerica;43;571;113;11.0;1.0;1;VA;Linux;Dedicated;ThreeYearsLight;I2_xlarge;null;12326.0;261821.0;0.317;14.0;4.0;30.5;1.0;800.0;0.0;113.0;43.0;
Config 2.fmc; 243;Public;RedHat;CA;2;826;569;56.0;33.0;1;CA;RedHat;Public;OnDemand;C3_8xlarge;ssdEBS;2367.0;1183649.0;2.041;108.0;32.0;60.0;1.0;826.0;186.0;569.0;2.0;
Config 20.fmc; 389;Dedicated;RedHat;JP;29;469;216;27.0;27.0;1;Tokyo;RedHat;Dedicated;OneYearMedium;C3_4xlarge;ssdEBS;19941.0;596328.0;0.678;55.0;16.0;30.0;1.0;469.0;149.0;216.0;29.0;
Config 200.fmc; 1029;Dedicated;LinuxBased;NorthAmerica;43;571;113;56.0;39.0;1;VA;Linux;Dedicated;OneYearMedium;C3_8xlarge;null;17048.0;296738.0;0.626;108.0;32.0;60.0;1.0;640.0;0.0;113.0;43.0;
